contest_group_id,contest_name,choice,choice_party,sum
1162,NC HOUSE OF REPRESENTATIVES DISTRICT 087,Terri M. Johnson (Write-In),,1279
1299,NC DISTRICT COURT JUDGE DISTRICT 18 (VINCENT),Teresa Vincent,,157984
1238,NC DISTRICT COURT JUDGE DISTRICT 06 (FREEMAN),Teresa Raquel Robinson Freeman,,37522
5,JOHNSTON COUNTY BOARD OF EDUCATION,Teresa Grant,,37237
1110,NC HOUSE OF REPRESENTATIVES DISTRICT 035,Terence Everitt,DEM,22145
6,STANLY COUNTY BOARD OF EDUCATION DISTRICT 5,Tempest Green Leake,DEM,7597
4,SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,Ted Waffa (Write-In),,5
1330,NC DISTRICT COURT JUDGE DISTRICT 24 (MCENTIRE),Ted McEntire,,42722
2,JOHNSTON COUNTY BOARD OF COMMISSIONERS  DISTRICT 2,Ted G. Godwin,REP,53709
3,AVERY COUNTY SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,Ted Farmer (Write-In),,12
1094,NC HOUSE OF REPRESENTATIVES DISTRICT 019,"Ted Davis, Jr.",REP,31133
4,SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,Ted Carter (Write-In),,5
1392,US HOUSE OF REPRESENTATIVES DISTRICT 13,Ted Budd,REP,199443
1,HENDERSON COUNTY BOARD OF EDUCATION,Tawny McCoy (Write-In),,6
3,TRANSYLVANIA COUNTY BOARD OF EDUCATION,Tawny McCoy,,10670
2,RICHMOND COUNTY BOARD OF COMMISSIONERS,Tavares Bostic,DEM,7803
4,BERTIE COUNTY BOARD OF EDUCATION DISTRICT 5,Tarsha Bush-Dudley,,6316
1210,NC SUPERIOR COURT JUDGE DISTRICT 16A (WALLACE),Tanya T. Wallace,,42617
2,ALAMANCE-BURLINGTON BOARD OF EDUCATION,Tammye Wilson (Write-In),,9
13,WAKE COUNTY BOARD OF EDUCATION DISTRICT 3,Tammy Van Duyn (Write-In),,5
5,NEW HANOVER COUNTY REGISTER OF DEEDS,Tammy T. Beasley,REP,75013
7,CAMDEN COUNTY REGISTER OF DEEDS,Tammie Krauss,REP,3793
11,LEE COUNTY BOARD OF EDUCATION AT-LARGE,Tamara Brogan,DEM,10616
1042,NC STATE SENATE DISTRICT 17,Tamara Barringer,REP,59105
1308,NC DISTRICT COURT JUDGE DISTRICT 18 (HOLLIDAY),Tabatha Holliday,,151648
1359,NC DISTRICT COURT JUDGE DISTRICT 29B (BRITTAIN),"T. McAvoy (Mack) Brittain, Jr.",,55569
1047,NC STATE SENATE DISTRICT 22,T. Greg Doucette,REP,39198
8,GUILFORD COUNTY BOARD OF EDUCATION DISTRICT 1,T. Dianne Bellamy-Small,DEM,18644
1,DURHAM COUNTY BOARD OF  COMMISSIONERS,Sylvester Williams (Write-In),,156
2,HARNETT COUNTY BOARD OF COMMISSIONERS DISTRICT 4,Suzanne Prince,DEM,3892
7,ALLEGHANY COUNTY BOARD OF EDUCATION,Suzanne Mellow-Irwin,REP,3508
9,STANLY COUNTY REGISTER OF DEEDS,Suzanne Lowder,REP,23315
1093,NC HOUSE OF REPRESENTATIVES DISTRICT 018,Susi Hamilton,DEM,22006
3,BOARD OF EDUCATION DISTRICT 5,Susan Williams,,20025
9,GASTON COUNTY REGISTER OF DEEDS,Susan S. Lockridge,REP,70358
4,JONES COUNTY REGISTER OF DEEDS,Susan S. Gray,DEM,3891
2,MADISON COUNTY REGISTER OF DEEDS,Susan Rector,DEM,8471
1298,NC DISTRICT COURT JUDGE DISTRICT 18 (BURCH),Susan R. Burch,,160058
1042,NC STATE SENATE DISTRICT 17,Susan P. Evans,DEM,58063
1184,NC HOUSE OF REPRESENTATIVES DISTRICT 109,Susan Maxon,DEM,13755
1083,NC HOUSE OF REPRESENTATIVES DISTRICT 008,Susan Martin,REP,21329
9,SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,Susan Kent (Write-In),,5
2,CLEVELAND COUNTY BOARD OF COMMISSIONERS,Susan K. Allen,REP,25175
5,YANCEY COUNTY REGISTER OF DEEDS,Susan Jobe,DEM,4620
